slug,target_money_page,current_primary_phrase,proposed_primary_phrase,meta_length,phrase_meta_overlap,needs_primary_phrase,needs_primary_repair,needs_meta_review
"how-to-apply-for-secured-credit-cards","/best/best-secured-credit-cards/","How to Apply for Secured Credit Cards (Even After Denial or Bankruptcy)","How to Apply for Secured Credit Cards (Even After Denial or Bankruptcy)",155,0.63,false,false,false
"business-loan-rates-fees-explained","/best/best-small-business-loans/","Business Loan Rates and Fees Explained (What's Tax Deductible and What's Not)","Business Loan Rates and Fees Explained (What's Tax Deductible and What's Not)",153,0.75,false,false,false
"how-to-apply-for-a-business-loan","/best/best-small-business-loans/","How to Apply for a Business Loan (Step-by-Step, Including LLCs and Online Applications)","How to Apply for a Business Loan (Step-by-Step, Including LLCs and Online Applications)",154,0.63,false,false,false
"best-debt-consolidation-loans-bad-credit","/best/best-debt-consolidation-loans/","Best Debt Consolidation Loans for Bad Credit (What Actually Works in 2026)","Best Debt Consolidation Loans for Bad Credit (What Actually Works in 2026)",155,0.44,false,false,false
"how-to-get-an-sba-loan","/best/best-sba-loans/","How to Get an SBA Loan: Personal Guarantees, Fixed Rates, and What Each Program Really Requires","How to Get an SBA Loan: Personal Guarantees, Fixed Rates, and What Each Program Really Requires",157,0.4,false,false,false
"business-line-of-credit-guide-new-llc-bad-credit","/best/best-business-lines-of-credit/","Business Line of Credit Guide: New LLCs, Bad Credit, and What Lenders Actually Require","Business Line of Credit Guide: New LLCs, Bad Credit, and What Lenders Actually Require",149,0.5,false,false,false
"debt-consolidation-vs-personal-loan","/best/best-debt-consolidation-loans/","Debt Consolidation Loan vs Personal Loan (What Actually Saves You Money)","Debt Consolidation Loan vs Personal Loan (What Actually Saves You Money)",156,0.57,false,false,false
"startup-business-loans-new-business-financing","/best/best-startup-business-loans/","Startup Business Loans (What New Businesses Can Actually Get Approved For)","Startup Business Loans (What New Businesses Can Actually Get Approved For)",156,0.71,false,false,false
"how-to-check-credit-score-free","/best/best-credit-monitoring-services/","How to Check Your Credit Score for Free (Without Hurting It)","How to Check Your Credit Score for Free (Without Hurting It)",158,0.83,false,false,false
"how-credit-scores-are-calculated","/best/best-credit-monitoring-services/","How Credit Scores Are Calculated (The 5 Factors, Weighted and Explained)","How Credit Scores Are Calculated (The 5 Factors, Weighted and Explained)",159,0.5,false,false,false
"secured-credit-cards-questions-answered","/best/best-secured-credit-cards/","Secured Credit Cards: Every Question You Actually Have (Answered Straight)","Secured Credit Cards: Every Question You Actually Have (Answered Straight)",155,0.33,false,false,false
"how-to-increase-credit-limit","/best/best-credit-monitoring-services/","How to Increase Your Credit Limit (Without Hurting Your Score)","How to Increase Your Credit Limit (Without Hurting Your Score)",159,0.5,false,false,false
"merchant-cash-advance-guide","/best/best-merchant-cash-advance/","Merchant Cash Advances: What They Really Cost, How They Work, and When to Walk Away","Merchant Cash Advances: What They Really Cost, How They Work, and When to Walk Away",158,0.7,false,false,false
"equipment-financing-explained","/best/best-equipment-financing/","Equipment Financing Explained (Leasing, Renting, and Buying for Your Business)","Equipment Financing Explained (Leasing, Renting, and Buying for Your Business)",158,0.29,false,false,false
"invoice-factoring-companies-guide","/best/best-invoice-factoring/","Invoice Factoring Companies: How They Work (And What to Watch Out For)","Invoice Factoring Companies: How They Work (And What to Watch Out For)",157,0.57,false,false,false
"how-to-pay-off-debt-fast","/best/best-debt-consolidation-loans/","How to Pay Off Debt Fast (Every Method Compared With Real Numbers)","How to Pay Off Debt Fast (Every Method Compared With Real Numbers)",159,0.44,false,false,false
"debt-to-income-ratio-explained","/best/best-personal-loan-lenders/","Debt to Income Ratio Explained (What Lenders Actually Look At)","Debt to Income Ratio Explained (What Lenders Actually Look At)",143,0.57,false,false,false
"how-to-remove-charge-offs","/best/best-credit-repair-companies/","How to Remove Charge-Offs From Your Credit Report (What Actually Works)","How to Remove Charge-Offs From Your Credit Report (What Actually Works)",156,0.86,false,false,false
"can-you-get-a-business-loan-with-bad-credit","/best/best-bad-credit-business-loans/","Can You Get a Business Loan With Bad Credit? (Yes — Here's How)","Can You Get a Business Loan With Bad Credit? (Yes — Here's How)",155,0.67,false,false,false
"what-is-a-good-credit-score","/best/best-credit-builder-loans/","What Is a Good Credit Score? (And Where Your Number Really Stands)","What Is a Good Credit Score? (And Where Your Number Really Stands)",146,0.57,false,false,false
"how-to-apply-for-personal-loans","/best/cheapest-personal-loans/","How to Apply for Personal Loans (Even With Bad Credit)","How to Apply for Personal Loans (Even With Bad Credit)",145,0.67,false,false,false
"debt-settlement-credit-report-diy-guide","/best/best-debt-relief-companies/","Debt Settlement: How It Works, What It Does to Your Credit, and Whether You Can Do It Yourself","Debt Settlement: How It Works, What It Does to Your Credit, and Whether You Can Do It Yourself",158,0.67,false,false,false
"authorized-user-credit-strategy","/best/best-credit-builder-loans/","Authorized User Strategy: How It Affects Credit Scores, Payments, and Limits","Authorized User Strategy: How It Affects Credit Scores, Payments, and Limits",154,0.63,false,false,false
"upstart-loan-questions-cancellation-early-payoff-refinance","/best/best-personal-loan-lenders/","Upstart Loan Questions Answered (Cancel, Pay Early, Refinance, and More)","Upstart Loan Questions Answered (Cancel, Pay Early, Refinance, and More)",147,0.78,false,false,false
"credit-score-needed-for-loans","/best/best-personal-loans-bad-credit/","Credit Score Needed for Loans (Auto, Home, Personal — Real Minimums)","Credit Score Needed for Loans (Auto, Home, Personal — Real Minimums)",152,0.44,false,false,false
"does-closing-a-credit-card-hurt-your-score","/best/best-credit-monitoring-services/","Does Closing a Credit Card Hurt Your Credit Score? (What Actually Happens)","Does Closing a Credit Card Hurt Your Credit Score? (What Actually Happens)",158,0.57,false,false,false
"remove-late-payments-from-credit-report","/best/best-credit-repair-companies/","How to Remove Late Payments From Your Credit Report (and When You Actually Can)","How to Remove Late Payments From Your Credit Report (and When You Actually Can)",157,0.75,false,false,false
"are-merchant-cash-advances-a-good-idea","/best/best-small-business-loans/","Are merchant cash advances a good idea?","Are merchant cash advances a good idea?",154,0.6,false,false,false
"are-merchant-cash-advances-legal","/best/best-small-business-loans/","Are merchant cash advances legal?","Are merchant cash advances legal?",159,1,false,false,false
"are-merchant-cash-advances-tax-deductible","/best/best-small-business-loans/","Are merchant cash advances tax deductible?","Are merchant cash advances tax deductible?",158,0.8,false,false,false
"are-sba-loans-bad","/best/best-small-business-loans/","Are SBA loans bad?","Are SBA loans bad?",144,1,false,false,false
"are-sba-loans-for-startups","/best/best-small-business-loans/","Are SBA loans for startups?","Are SBA loans for startups?",155,1,false,false,false
"are-small-business-loans","/best/best-small-business-loans/","What are small business loans?","What are small business loans?",159,1,false,false,false
"are-small-business-loans-a-good-idea","/best/best-small-business-loans/","Are small business loans a good idea?","Are small business loans a good idea?",158,0.6,false,false,false
"are-small-business-loans-easy-to-get","/best/best-small-business-loans/","Are small business loans easy to get?","Are small business loans easy to get?",140,0.75,false,false,false
"how-to-pay-off-credit-card-debt","/best/best-debt-consolidation-loans/","How to pay off credit card debt?","How to pay off credit card debt?",153,1,false,false,false
"how-do-i-get-a-personal-loan","/best/cheapest-personal-loans/","How do I get a personal loan?","How do I get a personal loan?",153,1,false,false,false
"how-do-i-get-small-business-loan","/best/best-small-business-loans/","How do I get a small business loan?","How do I get a small business loan?",155,1,false,false,false
"how-do-debt-consolidation-loans-work","/best/best-debt-consolidation-loans/","How do debt consolidation loans work?","How do debt consolidation loans work?",155,1,false,false,false
"how-does-debt-consolidation-work","/best/best-debt-relief-companies/","How does debt consolidation work?","How does debt consolidation work?",154,0.67,false,false,false
"what-are-sba-loans","/best/best-sba-loans/","What are SBA loans?","What are SBA loans?",125,1,false,false,false
"what-are-the-best-small-business-loan-banks","/best/best-small-business-loans/","What are the best small business loan banks?","What are the best small business loan banks?",146,0.8,false,false,false
"what-should-you-know-about-fast-business-loans","/best/best-merchant-cash-advance/","What should you know about fast business loans?","What should you know about fast business loans?",150,0.5,false,false,false
"how-to-get-a-startup-business-loan-with-no-money","/best/best-startup-business-loans/","How to get a startup business loan with no money?","How to get a startup business loan with no money?",154,1,false,false,false
"what-are-the-best-small-business-loans","/best/best-small-business-loans/","What are the best small business loans?","What are the best small business loans?",154,1,false,false,false
"what-should-you-know-about-business-loans-no-credit-check","/best/best-sba-loans/","What should you know about business loans no credit check?","What should you know about business loans no credit check?",141,0.71,false,false,false
"what-should-you-know-about-business-loan-for-women","/best/best-small-business-loans/","What should you know about business loan for women?","What should you know about business loan for women?",156,0.67,false,false,false
"what-should-you-know-about-business-loans-for-bad-credit-startup","/best/best-sba-loans/","What should you know about business loans for bad credit startup?","What should you know about business loans for bad credit startup?",152,0.5,false,false,false
"what-should-you-know-about-startup-business-loans-for-bad-credit","/best/best-startup-business-loans/","What should you know about startup business loans for bad credit?","What should you know about startup business loans for bad credit?",157,0.63,false,false,false
"how-can-i-apply-for-a-business-loan","/best/best-merchant-cash-advance/","How can I apply for a business loan?","How can I apply for a business loan?",149,1,false,false,false
"what-are-debt-consolidation-loans","/best/best-debt-consolidation-loans/","What are debt consolidation loans?","What are debt consolidation loans?",152,1,false,false,false
"what-is-bill-consolidation-loan","/best/best-debt-consolidation-loans/","What is bill consolidation loan?","What is bill consolidation loan?",154,1,false,false,false
"what-should-you-know-about-small-business-loan-for-new-business","/best/best-startup-business-loans/","What should you know about small business loan for new business?","What should you know about small business loan for new business?",156,0.71,false,false,false
"what-should-you-know-about-sba-loan-for-veterans","/best/best-small-business-loans/","What should you know about SBA loan for veterans?","What should you know about SBA loan for veterans?",155,0.33,false,false,false
"what-should-you-know-about-business-loan-for-first-time-business-owner","/best/best-small-business-loans/","What should you know about business loan for first time business owner?","What should you know about business loan for first time business owner?",155,0.25,false,false,false
"what-are-credit-building-loans","/best/best-credit-builder-loans/","What are credit building loans?","What are credit building loans?",159,1,false,false,false
"how-do-sba-loans-work","/best/best-sba-loans/","How do SBA loans work?","How do SBA loans work?",159,1,false,false,false
"how-does-business-line-of-credit-work","/best/best-small-business-loans/","How does business line of credit work?","How does business line of credit work?",156,0.75,false,false,false
"what-is-a-business-line-of-credit","/best/best-business-lines-of-credit/","What is a business line of credit?","What is a business line of credit?",156,1,false,false,false
"how-do-i-get-a-startup-business-loan","/best/best-startup-business-loans/","How do I get a startup business loan?","How do I get a startup business loan?",155,1,false,false,false
"how-do-small-business-loans-work","/best/best-sba-loans/","How do small business loans work?","How do small business loans work?",157,1,false,false,false
"what-are-the-best-startup-business-loans","/best/best-startup-business-loans/","What are the best startup business loans?","What are the best startup business loans?",156,1,false,false,false
"what-should-you-know-about-business-loan-for-construction","/best/best-small-business-loans/","What should you know about business loan for construction?","What should you know about business loan for construction?",139,0.5,false,false,false
"what-should-you-know-about-equipment-financing-calculator","/best/best-equipment-financing/","What should you know about equipment financing calculator?","What should you know about equipment financing calculator?",145,0.33,false,false,false
"what-should-you-know-about-women-owned-business-loans","/best/best-small-business-loans/","What should you know about women owned business loans?","What should you know about women owned business loans?",150,0.57,false,false,false
"is-debt-settlement-a-good-idea","/best/best-debt-relief-companies/","Is debt settlement a good idea?","Is debt settlement a good idea?",155,1,false,false,false
"what-are-business-loans","/best/best-sba-loans/","What are business loans?","What are business loans?",160,1,false,false,false
"what-should-you-know-about-fast-business-funding","/best/best-merchant-cash-advance/","What should you know about fast business funding?","What should you know about fast business funding?",154,0.5,false,false,false
"what-should-you-know-about-startup-business-loans-with-no-revenue-bad","/best/best-bad-credit-business-loans/","What should you know about startup business loans with no revenue bad credit?","What should you know about startup business loans with no revenue bad credit?",158,0.67,false,false,false
"does-credit-repair-companies-work","/best/best-credit-repair-companies/","Do credit repair companies work?","Do credit repair companies work?",153,0.75,false,false,false
"does-credit-repair-services-work","/best/best-credit-repair-companies/","Do credit repair services work?","Do credit repair services work?",160,1,false,false,false
"how-much-can-you-get-a-personal-loan-for","/best/best-personal-loan-lenders/","How much can you get a personal loan for?","How much can you get a personal loan for?",158,0.67,false,false,false
"how-to-get-small-business-loan-with-bad-credit","/best/best-sba-loans/","How to get a small business loan with bad credit?","How to get a small business loan with bad credit?",146,1,false,false,false
"what-are-the-top-sba-loan-lenders","/best/best-sba-loans/","What are the top SBA loan lenders?","What are the top SBA loan lenders?",160,1,false,false,false
"what-are-the-top-sba-loans","/best/best-sba-loans/","What are the top SBA loans?","What are the top SBA loans?",149,1,false,false,false
"what-is-small-business-lending","/best/best-small-business-loans/","What is small business lending?","What is small business lending?",160,1,false,false,false
"what-should-you-know-about-equipment-loan-rates","/best/best-equipment-financing/","What should you know about equipment loan rates?","What should you know about equipment loan rates?",155,0.5,false,false,false
"are-credit-repair-companies-legit","/best/best-credit-repair-companies/","Are credit repair companies legit?","Are credit repair companies legit?",144,1,false,false,false
"can-i-get-a-loan-with-a-600-credit-score","/best/best-personal-loans-bad-credit/","Can I get a loan with a 600 credit score?","Can I get a loan with a 600 credit score?",157,0.75,false,false,false
"do-business-loans-affect-personal-credit","/best/best-bad-credit-business-loans/","Do business loans affect personal credit?","Do business loans affect personal credit?",151,0.8,false,false,false
"how-do-i-consolidate-my-credit-card-debt","/best/best-debt-consolidation-loans/","How do I consolidate my credit card debt?","How do I consolidate my credit card debt?",157,1,false,false,false
"how-do-credit-repair-agencies-work","/best/best-credit-repair-companies/","How do credit repair agencies work?","How do credit repair agencies work?",159,0.75,false,false,false
"how-do-credit-repair-companies-work","/best/best-credit-repair-companies/","How do credit repair companies work?","How do credit repair companies work?",160,0.75,false,false,false
"how-does-a-personal-loan-affect-credit-score","/best/best-personal-loan-lenders/","How does a personal loan affect credit score?","How does a personal loan affect credit score?",149,1,false,false,false
"what-are-the-best-business-line-of-credit-banks","/best/best-business-lines-of-credit/","What are the best business line of credit banks?","What are the best business line of credit banks?",149,1,false,false,false
"what-does-secured-credit-card-mean","/best/best-secured-credit-cards/","What does secured credit card mean?","What does secured credit card mean?",150,0.75,false,false,false
"what-is-sba-loan-interest-rate","/best/best-sba-loans/","What is SBA loan interest rate?","What is SBA loan interest rate?",158,1,false,false,false
"what-is-a-good-credit-repair-company","/best/best-credit-repair-companies/","What is a good credit repair company?","What is a good credit repair company?",157,1,false,false,false
"what-is-the-best-credit-repair-company","/best/best-credit-repair-companies/","What is the best credit repair company?","What is the best credit repair company?",158,1,false,false,false
"what-should-you-know-about-business-loan-for-disabled-veterans","/best/best-small-business-loans/","What should you know about business loan for disabled veterans?","What should you know about business loan for disabled veterans?",153,0.57,false,false,false
"what-should-you-know-about-business-loan-for-ecommerce","/best/best-small-business-loans/","What should you know about business loan for ecommerce?","What should you know about business loan for ecommerce?",147,0.67,false,false,false
"what-should-you-know-about-business-loan-for-food-truck","/best/best-small-business-loans/","What should you know about business loan for food truck?","What should you know about business loan for food truck?",140,0.57,false,false,false
"how-does-debt-settlement-work","/best/best-debt-relief-companies/","How does debt settlement work?","How does debt settlement work?",158,0.67,false,false,false
"what-are-the-best-small-business-loan-rates","/best/best-small-business-loans/","What are the best small business loan rates?","What are the best small business loan rates?",154,1,false,false,false
"what-are-the-best-small-business-loans-for-startups","/best/best-startup-business-loans/","What are the best small business loans for startups?","What are the best small business loans for startups?",137,1,false,false,false
"what-should-you-know-about-business-loan-for-gym","/best/best-small-business-loans/","What should you know about business loan for gym?","What should you know about business loan for gym?",151,0.5,false,false,false
"are-business-loans-tax-deductible","/best/best-small-business-loans/","Are business loans tax deductible?","Are business loans tax deductible?",151,1,false,false,false
"are-credit-card-balance-transfers-a-good-idea","/best/best-secured-credit-cards/","Are credit card balance transfers a good idea?","Are credit card balance transfers a good idea?",152,0.67,false,false,false
"can-sba-loans-be-forgiven","/best/best-sba-loans/","Can SBA loans be forgiven?","Can SBA loans be forgiven?",148,0.67,false,false,false
"how-do-credit-builder-loans-work","/best/best-credit-builder-loans/","How do credit builder loans work?","How do credit builder loans work?",157,1,false,false,false
"how-long-are-sba-loans","/best/best-sba-loans/","How long are SBA loans?","How long are SBA loans?",151,0.33,false,false,false
"what-are-the-best-small-business-loans-for-women","/best/best-startup-business-loans/","What are the best small business loans for women?","What are the best small business loans for women?",157,1,false,false,false
"what-is-equipment-finance","/best/best-equipment-financing/","What is equipment finance?","What is equipment finance?",155,1,false,false,false
"what-is-merchant-cash-advance","/best/best-merchant-cash-advance/","What is merchant cash advance?","What is merchant cash advance?",157,1,false,false,false
"what-should-you-know-about-equipment-financing-for-new-business","/best/best-equipment-financing/","What should you know about equipment financing for new business?","What should you know about equipment financing for new business?",143,0.43,false,false,false
"what-should-you-know-about-quick-business-loans-no-credit-checks","/best/best-sba-loans/","What should you know about quick business loans no credit checks?","What should you know about quick business loans no credit checks?",156,0.63,false,false,false
"do-loans-build-credit","/best/best-credit-builder-loans/","Do loans build credit?","Do loans build credit?",158,1,false,false,false
"how-does-merchant-cash-advance-work","/best/best-small-business-loans/","How does merchant cash advance work?","How does merchant cash advance work?",142,0.75,false,false,false
"how-much-will-secured-credit-card-raise-my-score","/best/best-secured-credit-cards/","How much will secured credit card raise my score?","How much will secured credit card raise my score?",144,0.71,false,false,false
"how-to-establish-credit-after-bankruptcy","/best/best-credit-builder-loans/","How to establish credit after bankruptcy?","How to establish credit after bankruptcy?",156,1,false,false,false
"how-to-get-small-business-loan-from-government","/best/best-sba-loans/","How to get a small business loan from government?","How to get a small business loan from government?",141,0.6,false,false,false
"is-no-credit-history-bad","/best/best-no-credit-check-cards/","Is no credit history bad?","Is no credit history bad?",150,1,false,false,false
"what-are-the-best-small-business-loans-for-bad-credit","/best/best-startup-business-loans/","What are the best small business loans for bad credit?","What are the best small business loans for bad credit?",155,1,false,false,false
"what-are-the-top-small-business-loans","/best/best-small-business-loans/","What are the top small business loans?","What are the top small business loans?",158,1,false,false,false
"what-is-invoice-financing","/best/best-invoice-factoring/","What is invoice financing?","What is invoice financing?",159,1,false,false,false
"what-should-you-know-about-business-loan-for-construction-companies","/best/best-sba-loans/","What should you know about business loan for construction companies?","What should you know about business loan for construction companies?",159,0.57,false,false,false
"what-should-you-know-about-business-loans-for-bad-credit-instant-appro","/best/best-sba-loans/","What should you know about business loans for bad credit instant approval?","What should you know about business loans for bad credit instant approval?",155,0.67,false,false,false
"what-should-you-know-about-equipment-financing-no-credit-check","/best/best-equipment-financing/","What should you know about equipment financing no credit check?","What should you know about equipment financing no credit check?",146,0.57,false,false,false
"what-should-you-know-about-merchant-cash-advance-default","/best/best-merchant-cash-advance/","What should you know about merchant cash advance default?","What should you know about merchant cash advance default?",153,0.57,false,false,false
"what-should-you-know-about-same-day-business-loans-bad-credit","/best/best-merchant-cash-advance/","What should you know about same day business loans bad credit?","What should you know about same day business loans bad credit?",152,0.78,false,false,false
"can-you-get-a-business-loan-to-start-a-business","/best/best-small-business-loans/","Can you get a business loan to start a business?","Can you get a business loan to start a business?",148,1,false,false,false
"how-does-credit-counseling-work","/best/best-credit-counseling-agencies/","How does credit counseling work?","How does credit counseling work?",146,0.67,false,false,false
"how-does-personal-loan-interest-work","/best/cheapest-personal-loans/","How does personal loan interest work?","How does personal loan interest work?",150,0.75,false,false,false
"what-should-you-know-about-business-loan-for-cafe","/best/best-small-business-loans/","What should you know about business loan for cafe?","What should you know about business loan for cafe?",154,0.5,false,false,false
"what-should-you-know-about-fastest-sba-loan","/best/best-merchant-cash-advance/","What should you know about fastest SBA loan?","What should you know about fastest SBA loan?",160,0.67,false,false,false
"what-should-you-know-about-merchant-cash-advance-for-startups","/best/best-merchant-cash-advance/","What should you know about merchant cash advance for startups?","What should you know about merchant cash advance for startups?",151,0.57,false,false,false
"what-should-you-know-about-startup-business-loan-for-women","/best/best-startup-business-loans/","What should you know about startup business loan for women?","What should you know about startup business loan for women?",160,0.57,false,false,false
"how-should-you-compare-small-business-loans","/best/best-small-business-loans/","How should you compare small business loans?","How should you compare small business loans?",152,0.8,false,false,false
"what-are-the-best-equipment-financing-companies-for-startups","/best/best-equipment-financing/","What are the best equipment financing companies for startups?","What are the best equipment financing companies for startups?",152,1,false,false,false
"what-should-you-know-about-business-loan-for-farm","/best/best-small-business-loans/","What should you know about business loan for farm?","What should you know about business loan for farm?",147,0.5,false,false,false
"what-should-you-know-about-equipment-financing-vs-leasing","/best/best-equipment-financing/","What should you know about equipment financing vs leasing?","What should you know about equipment financing vs leasing?",156,0.5,false,false,false
"what-should-you-know-about-unsecured-business-loan-rates","/best/best-business-lines-of-credit/","What should you know about unsecured business loan rates?","What should you know about unsecured business loan rates?",159,0.57,false,false,false
"where-to-apply-for-small-business-loan","/best/best-sba-loans/","Where can you apply for a small business loan?","Where can you apply for a small business loan?",154,0.8,false,false,false
"are-small-business-loans-hard-to-get","/best/best-sba-loans/","Are small business loans hard to get?","Are small business loans hard to get?",152,1,false,false,false
"can-i-get-sba-loan-with-bad-credit","/best/best-sba-loans/","Can I get SBA loan with bad credit?","Can I get SBA loan with bad credit?",155,1,false,false,false
"how-does-equipment-financing-work","/best/best-equipment-financing/","How does equipment financing work?","How does equipment financing work?",159,0.67,false,false,false
"how-does-invoice-factoring-work","/best/best-small-business-loans/","How does invoice factoring work?","How does invoice factoring work?",157,0.67,false,false,false
"how-much-personal-loan-do-i-qualify-for","/best/best-personal-loan-lenders/","How much personal loan do I qualify for?","How much personal loan do I qualify for?",157,0.5,false,false,false
"should-i-get-a-business-loan","/best/best-small-business-loans/","Should I get a business loan?","Should I get a business loan?",153,0.67,false,false,false
"what-are-credit-repair-companies","/best/best-credit-repair-companies/","","What are credit repair companies?",149,1,true,false,false
"what-should-you-know-about-benefits-of-a-business-line-of-credit","/best/best-business-lines-of-credit/","","What should you know about benefits of a business line of credit?",155,0.57,true,false,false
"what-should-you-know-about-first-time-business-loan-with-bad-credit","/best/best-small-business-loans/","","What should you know about first time business loan with bad credit?",153,0.44,true,false,false
"what-should-you-know-about-heavy-equipment-financing-companies","/best/best-equipment-financing/","","What should you know about heavy equipment financing companies?",152,0.57,true,false,false
"what-should-you-know-about-invoice-factoring-calculator","/best/best-invoice-factoring/","","What should you know about invoice factoring calculator?",159,1,true,false,false
"what-should-you-know-about-merchant-cash-advance-consolidation","/best/best-merchant-cash-advance/","","What should you know about merchant cash advance consolidation?",158,0.57,true,false,false
"can-i-dispute-late-payments-on-credit-report","/best/best-credit-repair-companies/","","Can I dispute late payments on credit report?",158,1,true,false,false
"how-does-secured-credit-card-work-for-capital-one","/best/best-secured-credit-cards/","","How does secured credit card work for capital one?",137,0.83,true,false,false
"how-much-does-a-personal-loan-affect-your-credit-score","/best/best-personal-loans-bad-credit/","","How much does a personal loan affect your credit score?",160,0.67,true,false,false
"how-to-get-a-small-business-loan-to-start-a-business","/best/best-small-business-loans/","","How to get a small business loan to start a business?",152,1,true,false,false
"how-to-get-a-small-business-loan-with-no-income","/best/best-small-business-loans/","","How to get a small business loan with no income?",149,1,true,false,false
"how-to-qualify-for-a-business-line-of-credit","/best/best-business-lines-of-credit/","","How to qualify for a business line of credit?",144,1,true,false,false
"is-getting-a-loan-for-debt-consolidation-bad","/best/best-debt-consolidation-loans/","","Is getting a loan for debt consolidation bad?",155,0.8,true,false,false
"what-are-merchant-cash-advances","/best/best-merchant-cash-advance/","","What are merchant cash advances?",159,0.67,true,false,false
"what-are-the-best-merchant-cash-advance","/best/best-merchant-cash-advance/","","What are the best merchant cash advance?",158,0.75,true,false,false
"what-is-a-good-interest-rate-for-a-business-loan","/best/best-small-business-loans/","","What is a good interest rate for a business loan?",159,1,true,false,false
"what-should-you-know-about-business-cash-advance-no-credit-check","/best/best-merchant-cash-advance/","","What should you know about business cash advance no credit check?",132,0.63,true,false,false
